block_num,last_mode,tx_count,warm_hits,sched_us,g0,g1,g2,alloc_mb
1,AL,2,1,8730,0,0,0,34.253
2,AL,13,12,178,0,0,0,5.554
3,AL,11,10,73,0,0,0,12.300
4,AL,4,3,92,0,0,0,4.940
5,AL,36,6,1461,0,0,0,7.710
6,AL,96,66,703,0,0,0,31.417
7,AL,136,106,1629,0,0,0,40.701
8,AL,234,204,1611,0,0,0,64.059
9,AL,248,218,2689,1,1,1,105.229
10,AL,385,355,3203,0,0,0,87.761
11,AL,270,240,2170,0,0,0,205.462
12,AL,362,332,2112,2,1,1,103.633
13,AL,210,180,1681,0,0,0,179.131
14,AL,297,267,1142,0,0,0,95.665
15,AL,164,134,626,0,0,0,149.724
16,AL,59,29,279,0,0,0,154.071
17,AL,43,13,223,0,0,0,62.251
18,AL,34,4,163,0,0,0,43.403
19,AL,39,9,106,0,0,0,36.051
20,AL,40,10,173,0,0,0,38.684
21,AL,41,11,129,0,0,0,38.883
22,AL,35,5,187,0,0,0,41.309
23,AL,39,9,109,0,0,0,37.549
24,AL,38,8,106,0,0,0,38.236
25,AL,38,8,121,0,0,0,39.103
26,AL,35,5,107,0,0,0,40.479
27,AL,39,9,119,0,0,0,37.783
28,AL,38,8,117,0,0,0,43.690
29,AL,38,8,106,0,0,0,40.154
30,AL,36,6,123,0,0,0,44.619
31,AL,38,8,226,0,0,0,42.135
32,AL,42,12,116,0,0,0,45.544
33,AL,34,4,119,0,0,0,47.640
34,AL,36,6,128,0,0,0,43.352
35,AL,39,9,114,0,0,0,42.887
36,AL,42,12,96,0,0,0,42.168
37,AL,33,3,171,0,0,0,49.231
38,AL,39,9,114,0,0,0,38.471
39,AL,40,10,165,0,0,0,43.250
40,AL,41,11,151,0,0,0,45.521
41,AL,37,7,139,0,0,0,45.313
42,AL,44,14,89,0,0,0,45.403
43,AL,53,23,231,1,1,0,23.745
44,AL,105,75,233,0,0,0,45.041
45,AL,51,21,103,0,0,0,107.685
46,AL,34,4,84,0,0,0,52.412
47,AL,41,11,94,0,0,0,38.349
48,AL,40,10,138,0,0,0,41.566
49,AL,38,8,82,0,0,0,47.355
50,AL,37,7,131,0,0,0,45.396
51,AL,42,12,79,0,0,0,38.996
52,AL,39,9,89,0,0,0,43.952
53,AL,32,2,81,0,0,0,42.611
54,AL,38,8,136,0,0,0,38.736
55,AL,38,8,154,0,0,0,38.991
56,AL,40,10,106,0,0,0,42.727
57,AL,34,4,117,0,0,0,44.377
58,AL,39,9,123,0,0,0,38.397
59,AL,42,12,100,0,0,0,44.534
60,AL,38,8,132,0,0,0,45.011
61,AL,33,3,103,0,0,0,42.513
62,AL,42,12,148,0,0,0,39.221
63,AL,42,12,87,0,0,0,49.502
64,AL,34,4,163,0,0,0,47.302
65,AL,37,7,184,0,0,0,41.049
66,AL,42,12,104,0,0,0,43.549
67,AL,41,11,111,0,0,0,48.465
68,AL,34,4,95,0,0,0,50.531
69,AL,41,11,91,0,0,0,42.347
70,AL,43,13,66,0,0,0,45.945
71,AL,34,4,64,0,0,0,51.799
72,AL,41,11,76,0,0,0,39.215
73,AL,42,12,79,0,0,0,51.072
74,AL,35,5,77,0,0,0,48.935
75,AL,40,10,92,0,0,0,47.046
76,AL,41,11,89,0,0,0,47.084
77,AL,39,9,81,0,0,0,50.102
78,AL,37,7,75,0,0,0,51.521
79,AL,41,11,87,0,0,0,44.842
80,AL,40,10,75,0,0,0,47.548
81,AL,34,4,110,0,0,0,49.420
82,AL,43,13,98,0,0,0,39.700
83,AL,43,13,94,0,0,0,53.405
84,AL,36,6,62,0,0,0,47.420
85,AL,40,10,66,0,0,0,51.157
86,AL,41,11,71,0,0,0,52.760
87,AL,35,5,124,0,0,0,52.944
88,AL,37,7,90,0,0,0,47.829
89,AL,43,13,68,0,0,0,44.835
90,AL,40,10,74,0,0,0,46.876
91,AL,32,2,71,0,0,0,48.766
92,AL,41,11,77,0,0,0,38.661
93,AL,43,13,96,0,0,0,51.153
94,AL,36,6,100,0,0,0,55.810
95,AL,41,11,75,0,0,0,43.433
96,AL,39,9,94,0,0,0,48.380
97,AL,38,8,67,0,0,0,44.879
98,AL,37,7,101,0,0,0,46.681
99,AL,39,9,86,0,0,0,45.657
100,AL,42,12,76,0,0,0,47.781
101,AL,33,3,59,0,0,0,52.938
102,AL,39,9,157,0,0,0,44.591
103,AL,39,9,133,0,0,0,46.551
104,AL,39,9,99,0,0,0,48.698
105,AL,69,39,98,1,0,0,43.387
106,AL,44,14,88,0,0,0,77.506
107,AL,39,9,150,0,0,0,53.663
108,AL,36,6,61,0,0,0,44.123
109,AL,38,8,67,0,0,0,41.049
110,AL,39,9,81,0,0,0,44.585
111,AL,37,7,62,0,0,0,45.061
112,AL,40,10,58,0,0,0,52.302
113,AL,39,9,207,0,0,0,45.796
114,AL,39,9,97,0,0,0,42.470
115,AL,33,3,65,0,0,0,42.671
116,AL,42,12,64,0,0,0,40.004
117,AL,38,8,100,0,0,0,45.143
118,AL,39,9,64,0,0,0,56.912
119,AL,34,4,54,0,0,0,49.931
120,AL,40,10,82,0,0,0,38.697
121,AL,40,10,67,0,0,0,46.247
122,AL,36,6,60,0,0,0,43.846
123,AL,36,6,82,0,0,0,45.513
124,AL,38,8,65,0,0,0,43.187
125,AL,41,11,92,0,0,0,44.914
126,AL,35,5,55,0,0,0,47.858
127,AL,36,6,51,0,0,0,40.096
128,AL,38,8,59,0,0,0,43.408
129,AL,41,11,95,0,0,0,45.328
130,AL,37,7,58,0,0,0,54.850
131,AL,42,12,170,0,0,0,49.158
132,AL,42,12,69,0,0,0,48.667
133,AL,34,4,82,0,0,0,51.208
134,AL,37,7,84,0,0,0,49.328
135,AL,45,15,77,0,0,0,44.567
136,AL,38,8,65,0,0,0,53.999
137,AL,39,9,69,0,0,0,48.271
138,AL,42,12,65,0,0,0,46.335
139,AL,39,9,95,0,0,0,52.143
140,AL,39,9,94,0,0,0,51.391
141,AL,41,11,95,0,0,0,51.534
142,AL,40,10,99,0,0,0,50.953
143,AL,39,9,91,0,0,0,127.476
144,AL,93,63,73026,0,0,0,96.640
145,AL,134,104,182,0,0,0,64.641
146,AL,56,26,94,0,0,0,138.850
147,AL,41,11,185,0,0,0,72.209
148,AL,37,7,63,0,0,0,59.084
149,AL,42,12,116,0,0,0,50.280
150,AL,41,11,74,0,0,0,49.814
151,AL,36,6,69,0,0,0,51.724
152,AL,40,10,85,0,0,0,147.726
153,AL,65,35,120,0,0,0,78.744
154,AL,40,10,67,0,0,0,68.975
155,AL,43,13,67,0,0,0,45.743
156,AL,42,12,76,0,0,0,48.809
157,AL,34,4,64,0,0,0,50.521
158,AL,40,10,72,0,0,0,45.565
159,AL,41,11,99,0,0,0,61.002
160,AL,39,9,86,0,0,0,120.361
161,AL,52,22,93,0,0,0,50.487
162,AL,38,8,124,0,0,0,57.209
163,AL,42,12,96,0,0,0,49.711
164,AL,40,10,66,0,0,0,55.531
165,AL,38,8,65,0,0,0,51.123
166,AL,37,7,69,0,0,0,44.536
167,AL,39,9,104,0,0,0,46.142
168,AL,40,10,88,0,0,0,117.945
